0.1 0 0.0 1 4.068622149122384e-15 2
0.1 1 0.0 1 0.0 1
0.1 2 0.0 1 0.0019678740909879894 2
0.1 3 0.0 1 -0.001963938342804781 2
0.1 4 0.0 1 0.0 1
0.1 5 0.0 1 4.068622149122384e-15 2
0.1 6 0.0 1 0.0 1
0.1 7 0.0 1 0.0 1
0.1 8 0.0 1 4.068622149122384e-15 2
0.1 9 0.0 1 4.068622149122384e-15 2
0.2 0 0.0 1 0.0 1
0.2 1 0.0 1 4.068622149122384e-15 2
0.2 2 0.0 1 -0.001963938342804781 2
0.2 3 0.0 1 0.0 1
0.2 4 0.0 1 4.068622149122384e-15 2
0.2 5 0.0 1 4.068622149122384e-15 2
0.2 6 0.0 1 0.0 1
0.2 7 0.0 1 4.068622149122384e-15 2
0.2 8 0.0 1 4.068622149122384e-15 2
0.2 9 0.0 1 0.0 1
0.3 0 0.0 1 0.0 1
0.3 1 0.0 1 -0.0013392348928570517 2
0.3 2 0.0 1 0.0 1
0.3 3 0.0 1 0.0 1
0.3 4 0.0 1 0.0 1
0.3 5 0.0 1 4.068622149122384e-15 2
0.3 6 0.0 1 -0.001963938342804781 2
0.3 7 0.0 1 0.0 1
0.3 8 0.0 1 0.0 1
0.3 9 0.0 1 4.068622149122384e-15 2
0.5 0 0.0 1 0.0 1
0.5 1 0.0 1 0.0 1
0.5 2 0.0004948105804910081 2 0.0 1
0.5 3 0.0 1 4.068622149122384e-15 2
0.5 4 0.0 1 0.0 1
0.5 5 0.0 1 4.068622149122384e-15 2
0.5 6 0.0 1 0.0 1
0.5 7 0.0 1 0.0 1
0.5 8 0.0 1 4.068622149122384e-15 2
0.5 9 0.0 1 0.0019678740909879894 2
0.4 0 0.0 1 4.068622149122384e-15 2
0.4 1 0.0 1 -0.001963938342804781 2
0.4 2 0.0 1 0.0 1
0.4 3 0.0 1 4.068622149122384e-15 2
0.4 4 0.0 1 0.0 1
0.4 5 0.0 1 -0.001963938342804781 2
0.4 6 0.0 1 0.0 1
0.4 7 1.695056516430295e-05 2 -7.261328039926566e-05 2
0.4 8 0.0 1 0.0 1
0.4 9 0.0 1 0.0019678740909879894 2
0.6 0 -0.0003069421546217918 2 4.068622149122384e-15 2
0.6 1 0.0 1 0.0 1
0.6 2 0.0 1 0.0019678740909879894 2
0.6 3 0.0 1 0.0 1
0.6 4 0.0 1 0.0019678740909879894 2
0.6 5 0.0 1 4.068622149122384e-15 2
0.6 6 0.0 1 0.0 1
0.6 7 0.0 1 0.0 1
0.6 8 0.0 1 4.068622149122384e-15 2
0.6 9 0.0 1 4.068622149122384e-15 2
0.7 0 -0.0007201169409490067 2 0.0 1
0.7 1 0.0 1 0.0 1
0.7 2 0.0 1 0.0 1
0.7 3 0.0 1 0.0 1
0.7 4 0.0 1 4.068622149122384e-15 2
0.7 5 0.0 1 0.0 1
0.7 6 0.0 1 0.0 1
0.7 7 0.0 1 0.0 1
0.7 8 0.0 1 0.0 1
0.7 9 0.0 1 0.0 1
0.8 0 -7.311189926790713e-05 2 4.068622149122384e-15 2
0.8 1 0.0 1 0.0 1
0.8 2 0.0 1 0.0 1
0.8 3 0.0 1 0.0 1
0.8 4 0.09608442407453598 2 4.068622149122384e-15 2
0.8 5 0.0 1 0.0 1
0.8 6 0.0 1 0.0019678740909879894 2
0.8 7 0.0 1 4.068622149122384e-15 2
0.8 8 0.0 1 0.0 1
0.8 9 0.0 1 0.0 1
0.9 0 0.0 1 0.0 1
0.9 1 0.0 1 4.068622149122384e-15 2
0.9 2 0.0 1 4.068622149122384e-15 2
0.9 3 0.0 1 -0.001963938342804781 2
0.9 4 0.0 1 4.068622149122384e-15 2
0.9 5 0.0 1 0.0 1
0.9 6 0.0 1 0.0 1
0.9 7 0.0 1 0.0019678740909879894 2
0.9 8 0.0 1 4.068622149122384e-15 2
0.9 9 0.0 1 0.0 1
1.0 0 0.0 1 0.0 1
1.0 1 0.0 1 4.068622149122384e-15 2
1.0 2 0.0 1 0.0 1
1.0 3 0.03718908691136895 2 0.035391266813602516 3
1.0 4 0.0 1 0.0019678740909879894 2
1.0 5 0.0 1 0.0 1
1.0 6 0.1677753991844723 2 0.1571182952357396 3
1.0 7 0.0 1 0.0 1
1.0 8 0.0 1 0.0 1
1.0 9 0.0 1 0.0 1
2.0 0 0.24058296042348967 3 0.3975621343967085 2
2.0 1 0.40266830994433733 2 0.40517837502829707 2
2.0 2 0.4566689799458968 2 0.4566689799458968 2
2.0 3 0.3591561788317717 2 0.3546792796336014 3
2.0 4 0.4225531275001856 2 0.4258276180473805 2
2.0 5 0.3631834987087094 2 0.3608661041674923 3
2.0 6 0.4158428248643623 2 0.4129953280330887 2
2.0 7 0.3899325302907658 2 0.38754077501140655 3
2.0 8 0.36479197718299594 2 0.36032058234408487 3
2.0 9 0.33778563848978976 2 0.33778563848978976 2
3.0 0 0.6723183533117086 2 0.664749559192548 3
3.0 1 0.70917314701698 2 0.70917314701698 2
3.0 2 0.6325105699598264 2 0.6358353695737332 2
3.0 3 0.616839846241786 2 0.6199053594118645 2
3.0 4 0.6804961586266958 2 0.6849194749147307 2
3.0 5 0.7029150316775454 2 0.7019943536616979 3
3.0 6 0.6812356738150089 2 0.6812356738150089 2
3.0 7 0.6265279856648278 2 0.6216382260926215 3
3.0 8 0.6431890172275706 2 0.6431890172275706 2
3.0 9 0.6970712362446809 2 0.710223394963193 2
4.0 0 0.7969781627869689 2 0.7937242939196381 3
4.0 1 0.75274090901341 2 0.7447849816516824 3
4.0 2 0.4486068042414159 3 0.7789940936252203 2
4.0 3 0.8277023237571053 2 0.8239695663549406 2
4.0 4 0.7351784023406103 2 0.7281873522359763 3
4.0 5 0.7765018654055688 2 0.7814561431394091 2
4.0 6 0.7955276117316237 2 0.790649144084235 2
4.0 7 0.74849467540392 2 0.7688058801477292 3
4.0 8 0.7621573483279855 2 0.7673154791843342 3
4.0 9 0.8006745978835892 2 0.8015085514732364 3
5.0 0 0.887605345470028 2 0.8768982029918556 3
5.0 1 0.8537194140927469 2 0.8613773847419443 3
5.0 2 0.9003421520530871 2 0.9012488338348095 2
5.0 3 0.5911427931396677 3 0.8999002962475959 2
5.0 4 0.8607749758524094 2 0.8613797883750222 3
5.0 5 0.8938529720677018 2 0.8914391571898254 3
5.0 6 0.8607749758524094 2 0.8785231358531507 3
5.0 7 0.8944722530847433 2 0.8840727117158697 3
5.0 8 0.8531768449092096 2 0.8644486591028131 2
5.0 9 0.8887627193719099 2 0.8840654198042712 3
6.0 0 0.9559368028459724 2 0.9657005321175297 3
6.0 1 0.9470466644991287 2 0.9470466644991287 2
6.0 2 0.9363548946650091 2 0.9314477826463122 3
6.0 3 0.9330913980869943 2 0.9398867303090873 2
6.0 4 0.9546970433301786 2 0.9573284225860348 3
6.0 5 0.6635479602591021 3 0.9210754276410528 3
6.0 6 0.9398867303090873 2 0.9475340708544511 2
6.0 7 0.92032312962191 2 0.9192548778543161 3
6.0 8 0.9707591747969699 2 0.9623504404510599 2
6.0 9 0.933091398086994 2 0.9407356836396895 2
7.0 0 0.9895839817496578 2 0.9844435465660433 3
7.0 1 0.9811693365110503 2 0.978353676746934 3
7.0 2 0.9811693365110503 2 0.9844435465660433 3
7.0 3 0.9811693365110503 2 0.9811693365110503 2
7.0 4 1.0 2 0.988679949399583 3
7.0 5 0.9707591747969702 2 0.9657005321175297 3
7.0 6 0.9895839817496578 2 0.9869225672356803 3
7.0 7 0.9895839817496576 2 0.9895839817496578 2
7.0 8 0.9735099943241036 2 0.9699988202213842 3
7.0 9 0.9895839817496576 2 0.9844435884606811 3
8.0 0 1.0 2 1.0 2
8.0 1 0.7772338039430213 3 0.9844435465660433 3
8.0 2 1.0 2 0.9948145294868933 3
8.0 3 0.9811693365110503 2 0.9948145294868933 3
8.0 4 1.0 2 0.9948145294868933 3
8.0 5 0.9791708810534733 2 0.9740755285813925 3
8.0 6 1.0 2 1.0 2
8.0 7 0.9895839817496576 2 0.9895839817496578 2
8.0 8 0.9895839817496576 2 0.9895839817496578 2
8.0 9 1.0 2 1.0 2
9.0 0 1.0 2 0.984443588460681 3
9.0 1 1.0 2 1.0 2
9.0 2 1.0 2 0.9948145294868933 3
9.0 3 1.0 2 0.9948145294868933 3
9.0 4 1.0 2 0.9948145294868933 3
9.0 5 1.0 2 1.0 2
9.0 6 1.0 2 1.0 2
9.0 7 1.0 2 0.9841963799315293 3
9.0 8 1.0 2 1.0 2
9.0 9 1.0 2 1.0 2
10.0 0 1.0 2 1.0 2
10.0 1 0.7998867048873529 3 0.9948145294868933 3
10.0 2 1.0 2 1.0 2
10.0 3 1.0 2 0.9948145294868933 3
10.0 4 1.0 2 1.0 2
10.0 5 1.0 2 0.9948145294868933 3
10.0 6 1.0 2 0.9948145294868933 3
10.0 7 1.0 2 1.0 2
