HyBH 50 3 10 [2, 3] 0.2 0 0.46930822358300034 5 0.25470495223999023
HyBP 50 3 10 [2, 3] 0.2 0 0.0 3 41.040162563323975
HyBH 50 3 10 [2, 3] 0.2 1 0.4007864295722714 2 0.03150749206542969
HyBP 50 3 10 [2, 3] 0.2 1 0.0 3 41.519630432128906
HyBH 50 3 10 [2, 3] 0.2 2 0.4007864295722714 2 0.02264261245727539
HyBP 50 3 10 [2, 3] 0.2 2 0.0 3 41.8090763092041
HyBH 50 3 10 [2, 3] 0.2 3 0.4007864295722714 2 0.017469406127929688
HyBP 50 3 10 [2, 3] 0.2 3 0.0 3 42.04363942146301
HyBH 50 3 10 [2, 3] 0.2 4 0.4007864295722714 2 0.025547266006469727
HyBP 50 3 10 [2, 3] 0.2 4 0.0 3 41.489847898483276
HyBH 50 3 10 [2, 3] 0.2 5 0.4007864295722714 2 0.02267765998840332
HyBP 50 3 10 [2, 3] 0.2 5 0.0 3 41.28257465362549
HyBH 50 3 10 [2, 3] 0.2 6 0.4007864295722714 2 0.026300907135009766
HyBP 50 3 10 [2, 3] 0.2 6 0.0 3 41.742465019226074
HyBH 50 3 10 [2, 3] 0.2 7 0.4007864295722714 2 0.018461227416992188
HyBP 50 3 10 [2, 3] 0.2 7 0.0 3 41.77877354621887
HyBH 50 3 10 [2, 3] 0.2 8 0.4007864295722714 2 0.01872420310974121
HyBP 50 3 10 [2, 3] 0.2 8 0.0 3 42.02594780921936
HyBH 50 3 10 [2, 3] 0.2 9 0.4007864295722714 2 0.01663041114807129
HyBP 50 3 10 [2, 3] 0.2 9 0.0 3 40.95848512649536
HyBH 100 3 10 [2, 3] 0.2 0 0.7030950086416763 3 0.03729081153869629
HyBP 100 3 10 [2, 3] 0.2 0 0.0 3 80.52791333198547
HyBH 100 3 10 [2, 3] 0.2 1 0.703095008641676 3 0.03979158401489258
HyBP 100 3 10 [2, 3] 0.2 1 0.0 3 80.30337810516357
HyBH 100 3 10 [2, 3] 0.2 2 0.7030950086416761 3 0.022136688232421875
HyBP 100 3 10 [2, 3] 0.2 2 0.0 3 83.47588419914246
HyBH 100 3 10 [2, 3] 0.2 3 0.7030950086416764 3 0.03127264976501465
HyBP 100 3 10 [2, 3] 0.2 3 0.0 3 80.8975899219513
HyBH 100 3 10 [2, 3] 0.2 4 0.703095008641676 3 0.01562952995300293
HyBP 100 3 10 [2, 3] 0.2 4 0.0 3 80.31980872154236
HyBH 100 3 10 [2, 3] 0.2 5 0.703095008641676 3 0.031259775161743164
HyBP 100 3 10 [2, 3] 0.2 5 0.0 3 80.39158630371094
HyBH 100 3 10 [2, 3] 0.2 6 0.7030950086416761 3 0.01561880111694336
HyBP 100 3 10 [2, 3] 0.2 6 0.0 3 80.63448929786682
HyBH 100 3 10 [2, 3] 0.2 7 0.703095008641676 3 0.035779476165771484
HyBP 100 3 10 [2, 3] 0.2 7 0.0 3 82.12314629554749
HyBH 100 3 10 [2, 3] 0.2 8 0.703095008641676 3 0.03385210037231445
HyBP 100 3 10 [2, 3] 0.2 8 0.0 3 83.11570525169373
HyBH 100 3 10 [2, 3] 0.2 9 0.703095008641676 3 0.03235745429992676
HyBP 100 3 10 [2, 3] 0.2 9 0.0 3 84.98335790634155
HyBH 500 3 10 [2, 3] 0.2 0 0.6351781430728776 3 0.051999568939208984
HyBP 500 3 10 [2, 3] 0.2 0 0.0 3 418.2937846183777
HyBH 500 3 10 [2, 3] 0.2 1 0.6351781430728776 3 0.05598640441894531
HyBP 500 3 10 [2, 3] 0.2 1 0.0 3 419.2375032901764
HyBH 500 3 10 [2, 3] 0.2 0 0.6166187155351001 3 0.23508763313293457
HyBP 500 3 10 [2, 3] 0.2 0 0.0 3 413.89953994750977
HyBH 500 3 10 [2, 3] 0.2 1 0.6351781430728776 3 0.06301093101501465
HyBP 500 3 10 [2, 3] 0.2 1 0.0 3 416.4014799594879
HyBH 500 3 10 [2, 3] 0.2 2 0.6351781430728776 3 0.05845808982849121
HyBP 500 3 10 [2, 3] 0.2 2 0.0 3 410.0724906921387
HyBH 500 3 10 [2, 3] 0.2 3 0.6351781430728776 3 0.052179813385009766
HyBP 500 3 10 [2, 3] 0.2 3 0.0 3 411.50412607192993
HyBH 500 3 10 [2, 3] 0.2 4 0.6351781430728776 3 0.05008959770202637
HyBP 500 3 10 [2, 3] 0.2 4 0.0 3 409.90224957466125
HyBH 1000 3 10 [2, 3] 0.2 0 0.6111466606051622 3 0.08209109306335449
HyBP 1000 3 10 [2, 3] 0.2 0 0.0 3 820.2970502376556
HyBH 1000 3 10 [2, 3] 0.2 1 0.6085550082129798 3 0.0776216983795166
HyBP 1000 3 10 [2, 3] 0.2 1 0.0 3 819.6756711006165
HyBH 1000 3 10 [2, 3] 0.2 2 0.6085550082129798 3 0.07297968864440918
HyBP 1000 3 10 [2, 3] 0.2 2 0.0 3 819.57031416893
HyBH 1000 3 10 [2, 3] 0.2 3 0.6085550082129799 3 0.07016849517822266
HyBP 1000 3 10 [2, 3] 0.2 3 0.0 3 820.2331891059875
HyBH 1000 3 10 [2, 3] 0.2 4 0.6085550082129798 3 0.07933831214904785
HyBP 1000 3 10 [2, 3] 0.2 4 0.0 3 820.0256338119507
HyBH 5000 3 10 [2, 3] 0.2 0 0.6356320910094175 3 0.41951656341552734
HyBP 5000 3 10 [2, 3] 0.2 0 3.494452042078091e-05 3 4094.91375374794
HyBH 5000 3 10 [2, 3] 0.2 1 0.6356320910094175 3 0.4439420700073242
HyBP 5000 3 10 [2, 3] 0.2 1 3.494452042078091e-05 3 4092.6805715560913
HyBH 5000 3 10 [2, 3] 0.2 2 0.6356320910094176 3 0.4538435935974121
HyBP 5000 3 10 [2, 3] 0.2 2 3.494452042078091e-05 3 4097.083279848099
HyBH 5000 3 10 [2, 3] 0.2 3 0.6356320910094175 3 0.6168291568756104
HyBP 5000 3 10 [2, 3] 0.2 3 3.494452042078091e-05 3 4074.576929092407
HyBH 5000 3 10 [2, 3] 0.2 4 0.6356320910094176 3 0.47489452362060547
HyBP 5000 3 10 [2, 3] 0.2 4 3.494452042078091e-05 3 4135.009835720062
HyBH 10000 3 10 [2, 3] 0.2 0 0.6225884611300478 3 1.3777225017547607
HyBP 10000 3 10 [2, 3] 0.2 0 0.00016364243021938798 3 8334.126002550125
